Question,PossibleAnswer1,PossibleAnswer2,PossibleAnswer3,PossibleAnswer4,CorrectAnswer,Explanation,PicturePaths,Tags
Who developed Python Programming Language?,Wick van Rossum,Rasmus Lerdorf,Guido van Rossum,Niene Stom,C,Python language is designed by a Dutch programmer Guido van Rossum in the Netherlands.,,"Beginner,General"
Which type of Programming does Python support?,object-oriented programming,structured programming,functional programming,all of the mentioned,D,"Python is an interpreted programming language, which supports object-oriented, structured, and functional programming.",,"Beginner,General"
Is Python case sensitive when dealing with identifiers?,no,yes,machine dependent,none of the mentioned,B,Case is always significant while dealing with identifiers in python.,,"Beginner,General"
Which of the following is the correct extension of the Python file?,.python,.pl,.py,.p,C,‘.py’ is the correct extension of the Python file. Python programs can be written in any text editor. To save these programs we need to save in files with file extension ‘.py’.,,"Beginner,General"
Is Python code compiled or interpreted?,Python code is both compiled and interpreted,Python code is neither compiled nor interpreted,Python code is only compiled,Python code is only interpreted,A,"Many languages have been implemented using both compilers and interpreters, including C, Pascal, and Python.",,"Beginner,General"
Is Python case sensitive when dealing with identifiers?,yes,no,machine dependent,none of the mentioned,A,"Yes, Python is case sensitive. For example, Variable, variable, and VARIABLE are all treated as different identifiers.",,"Beginner,Variable Names"
What is the maximum possible length of an identifier?,31 characters,63 characters,79 characters,none of the mentioned,D,"In Python, identifiers can be of any length. There is no fixed maximum, though extremely long names are not practical.",,"Beginner,Variable Names"
Which of the following is not allowed in Python?,_a = 1,__a = 1,str = 1,none of the mentioned,D,"All the given statements are valid in Python and will run without errors. However, using names like __str__ can reduce readability or interfere with built-in functionality.",,"Intermediate,Variable Names"
Which of the following is an invalid variable?,my_string_1,1st_string,foo,_,B,"Variable names in Python cannot start with a digit. Since 1st_string begins with the digit 1, it is invalid. The other options follow Python’s variable naming rules, where names can start with letters or underscores and can include digits after the first character.",,"Beginner,Variable Names"
Why are local variable names beginning with an underscore discouraged?,they are used to indicate a private variables of a class,they confuse the interpreter,they are used to indicate global variables,they slow down execution,A,"As Python has no concept of private variables, leading underscores are used to indicate variables that must not be accessed from outside the class.",,"Intermediate,Variable Names"
Which of the following is not a keyword in Python?,eval,assert,nonlocal,pass,A,"eval is a built-in function, not a keyword. The others (assert, nonlocal, and pass) are Python keywords.",,"Beginner,Variable Names"
